Technique,Assumption ID,Assumption Name,Weight Type,Value,Rationale
ContainerCgroupDoS,CIC-3,Code reviews and automated testing of the app are enforced,Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupDoS,CIC-4,Third-party components used by the app are validated,Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
ContainerCgroupDoS,CIC-4,Third-party components used by the app are validated,Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupDoS,CIC-5,The CI/CD pipeline for the app enables reproducible builds,Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
ContainerCgroupDoS,CIC-5,The CI/CD pipeline for the app enables reproducible builds,Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupDoS,CIC-6,Apps for development and production are not deployed in the same environment,Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
ContainerCgroupDoS,CIC-6,Apps for development and production are not deployed in the same environment,Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupDoS,CRM-1,Regular risk assessments of apps and host devices are performed,Exploitability,1,Compliance and risk management practices support the assessment of how and what a container in the host's cgroup can do
ContainerCgroupDoS,CRM-1,Regular risk assessments of apps and host devices are performed,Exposure,1,Compliance and risk management practices support assessment of which components in the container's environment can exploit the resource allocation privilege
ContainerCgroupDoS,CRM-2,The operation's asset inventory is maintained,Exploitability,1,Compliance and risk management practices support the assessment of how and what a container in the host's cgroup can do
ContainerCgroupDoS,CRM-2,The operation's asset inventory is maintained,Exposure,1,Compliance and risk management practices support assessment of which components in the container's environment can exploit the resource allocation privilege
ContainerCgroupDoS,CRM-3,Container security policies along the app lifecycle are documented and enforced,Exploitability,1,Compliance and risk management practices support the assessment of how and what a container in the host's cgroup can do
ContainerCgroupDoS,CRM-3,Container security policies along the app lifecycle are documented and enforced,Exposure,1,Compliance and risk management practices support assessment of which components in the container's environment can exploit the resource allocation privilege
ContainerCgroupDoS,CRM-4,Periodic audits and reviews of apps and host devices are conducted,Exploitability,1,Compliance and risk management practices support the assessment of how and what a container in the host's cgroup can do
ContainerCgroupDoS,CRM-4,Periodic audits and reviews of apps and host devices are conducted,Exposure,1,Compliance and risk management practices support assessment of which components in the container's environment can exploit the resource allocation privilege
ContainerCgroupDoS,HIS-1,The container runtime on the host device is up to date,Exploitability,0,Host infrastructure security does not make the resource consumption attack more difficult
ContainerCgroupDoS,HIS-1,The container runtime on the host device is up to date,Exposure,1,An up-to-date container runtime supports management and allocation of host resources for containers
ContainerCgroupDoS,HIS-2,The host device is deployed as an immutable infrastructure (e.g. read-only file system),Exploitability,0,Host infrastructure security does not make the resource consumption attack more difficult
ContainerCgroupDoS,HIS-2,The host device is deployed as an immutable infrastructure (e.g. read-only file system),Exposure,2,An immutable host infrastructure reduces the attackers access to resources in the host's cgroup namespace
ContainerCgroupDoS,HIS-3,The host device is monitored for unauthorized changes,Exploitability,0,Host infrastructure security does not make the resource consumption attack more difficult
ContainerCgroupDoS,HIS-3,The host device is monitored for unauthorized changes,Exposure,3,Monitoring the resource allocation on the host system is essential to detect malicious activities by a container
ContainerCgroupDoS,IMG-1,App images are scanned for vulnerabilities,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupDoS,IMG-1,App images are scanned for vulnerabilities,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupDoS,IMG-2,App uses minimal base images,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupDoS,IMG-2,App uses minimal base images,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupDoS,IMG-3,App images are signed and verified,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupDoS,IMG-3,App images are signed and verified,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupDoS,IMG-4,Dockerfiles of the app pin the base image version,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupDoS,IMG-4,Dockerfiles of the app pin the base image version,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupDoS,IMG-5,App images are rebuilt and updated regularly,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupDoS,IMG-5,App images are rebuilt and updated regularly,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupDoS,IMG-6,Device orchestration only uses trusted image registries,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupDoS,IMG-6,Device orchestration only uses trusted image registries,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupDoS,MON-1,Container-level logging is enabled,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupDoS,MON-1,Container-level logging is enabled,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupDoS,MON-2,Processes on the host device are monitored for anomalous behavior,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupDoS,MON-2,Processes on the host device are monitored for anomalous behavior,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupDoS,MON-3,"Runtime security tools (e.g. Falco, Trivy) are used",Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupDoS,MON-3,"Runtime security tools (e.g. Falco, Trivy) are used",Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupDoS,MON-4,Incident response procedures are implemented,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupDoS,MON-4,Incident response procedures are implemented,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupDoS,MON-5,Logs are centralized and protected,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupDoS,MON-5,Logs are centralized and protected,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupDoS,MON-6,Decoy containers (honeypots) are deployed on the device to detect malicious activity,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupDoS,MON-6,Decoy containers (honeypots) are deployed on the device to detect malicious activity,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupDoS,MON-7,Container API calls and orchestration events are monitored for anomalies,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupDoS,MON-7,Container API calls and orchestration events are monitored for anomalies,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupDoS,MON-8,Alerts are triggered for unauthorized access attempts to container registries or APIs,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupDoS,MON-8,Alerts are triggered for unauthorized access attempts to container registries or APIs,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupDoS,NET-1,App container networks are segmented,Exploitability,0,Network security controls do not make resource consumption more difficult
ContainerCgroupDoS,NET-1,App container networks are segmented,Exposure,2,Network security controls limit access to the container in the host's cgroup and reduce the attack surface
ContainerCgroupDoS,NET-2,Host-level firewall rules and network policies are applied,Exploitability,0,Network security controls do not make resource consumption more difficult
ContainerCgroupDoS,NET-2,Host-level firewall rules and network policies are applied,Exposure,2,Network security controls limit access to the container in the host's cgroup and reduce the attack surface
ContainerCgroupDoS,NET-3,Inter-container communication is encrypted,Exploitability,0,Network security controls do not make resource consumption more difficult
ContainerCgroupDoS,NET-3,Inter-container communication is encrypted,Exposure,2,Network security controls limit access to the container in the host's cgroup and reduce the attack surface
ContainerCgroupDoS,NET-4,Ingress/egress controls for containers are implemented,Exploitability,0,Network security controls do not make resource consumption more difficult
ContainerCgroupDoS,NET-4,Ingress/egress controls for containers are implemented,Exposure,2,Network security controls limit access to the container in the host's cgroup and reduce the attack surface
ContainerCgroupDoS,RTS-1,App containers are run as non-root user,Exploitability,2,"A non-root user limits the capabilities of the container to execute malicious activities, e.g. scripts"
ContainerCgroupDoS,RTS-1,App containers are run as non-root user,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupDoS,RTS-2,App containers use read-only file systems,Exploitability,1,A read-only filesystem makes creating and running malicious scripts for resource consumption more difficult
ContainerCgroupDoS,RTS-2,App containers use read-only file systems,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupDoS,RTS-3,App containers are deployed with minimal Linux capabilities,Exploitability,1,Dropping unneccessary Linux capabilities makes it harder for attackers to consume resources with malicious scripts
ContainerCgroupDoS,RTS-3,App containers are deployed with minimal Linux capabilities,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupDoS,RTS-4,Seccomp is implemented on the device,Exploitability,0,Runtime security controls do not make malicious resource consumption more difficult
ContainerCgroupDoS,RTS-4,Seccomp is implemented on the device,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupDoS,RTS-5,AppArmor is implemented on the device,Exploitability,0,Runtime security controls do not make malicious resource consumption more difficult
ContainerCgroupDoS,RTS-5,AppArmor is implemented on the device,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupDoS,RTS-6,SELinux is implemented on the device,Exploitability,0,Runtime security controls do not make malicious resource consumption more difficult
ContainerCgroupDoS,RTS-6,SELinux is implemented on the device,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupDoS,RTS-7,App containers have minimal access to host resources,Exploitability,0,Runtime security controls do not make malicious resource consumption more difficult
ContainerCgroupDoS,RTS-7,App containers have minimal access to host resources,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupDoS,SCM-1,Secure secrets management tools (e.g. vaults or secrets manager) are used,Exploitability,0,Secrets management does not prevent or make resource consumption more difficult
ContainerCgroupDoS,SCM-1,Secure secrets management tools (e.g. vaults or secrets manager) are used,Exposure,0,Secrets management does not reduce the attack surface required for the resource consumption attack
ContainerCgroupDoS,SCM-2,Apps do not contain any hardcoded secrets,Exploitability,0,Secrets management does not prevent or make resource consumption more difficult
ContainerCgroupDoS,SCM-2,Apps do not contain any hardcoded secrets,Exposure,0,Secrets management does not reduce the attack surface required for the resource consumption attack
ContainerCgroupDoS,SCM-3,Secrets at rest and in transit are encrypted,Exploitability,0,Secrets management does not prevent or make resource consumption more difficult
ContainerCgroupDoS,SCM-3,Secrets at rest and in transit are encrypted,Exposure,0,Secrets management does not reduce the attack surface required for the resource consumption attack
ContainerCgroupDoS,SCM-4,Automatic secret rotation and revocation policies are implemented,Exploitability,0,Secrets management does not prevent or make resource consumption more difficult
ContainerCgroupDoS,SCM-4,Automatic secret rotation and revocation policies are implemented,Exposure,0,Secrets management does not reduce the attack surface required for the resource consumption attack
ContainerCgroupResourceHijacking,AUTH-1,Authentication for exposed container APIs is enforced,Exploitability,0,Authentication and access controls do not make resource consumption more difficult
ContainerCgroupResourceHijacking,AUTH-1,Authentication for exposed container APIs is enforced,Exposure,2,Authentication and access controls prevent unauthorized access to the privileged container in the host's cgroup
ContainerCgroupResourceHijacking,AUTH-2,Role-based access control is used for orchestration and container management,Exploitability,0,Authentication and access controls do not make resource consumption more difficult
ContainerCgroupResourceHijacking,AUTH-2,Role-based access control is used for orchestration and container management,Exposure,2,Authentication and access controls prevent unauthorized access to the privileged container in the host's cgroup
ContainerCgroupResourceHijacking,AUTH-3,"Access to container management interfaces (e.g., Docker socket) is restricted",Exploitability,0,Authentication and access controls do not make resource consumption more difficult
ContainerCgroupResourceHijacking,AUTH-3,"Access to container management interfaces (e.g., Docker socket) is restricted",Exposure,2,Authentication and access controls prevent unauthorized access to the privileged container in the host's cgroup
ContainerCgroupResourceHijacking,CIC-1,"The CI/CD pipeline for the app is secured (regarding code repositories, build environments, secrets, vulnerabilities, signing, auditing ...)",Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
ContainerCgroupResourceHijacking,CIC-1,"The CI/CD pipeline for the app is secured (regarding code repositories, build environments, secrets, vulnerabilities, signing, auditing ...)",Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupResourceHijacking,CIC-2,SBOMs are used for the app to track code dependencies,Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
ContainerCgroupResourceHijacking,CIC-2,SBOMs are used for the app to track code dependencies,Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupResourceHijacking,CIC-3,Code reviews and automated testing of the app are enforced,Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
ContainerCgroupResourceHijacking,CIC-3,Code reviews and automated testing of the app are enforced,Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupResourceHijacking,CIC-4,Third-party components used by the app are validated,Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
ContainerCgroupResourceHijacking,CIC-4,Third-party components used by the app are validated,Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupResourceHijacking,CIC-5,The CI/CD pipeline for the app enables reproducible builds,Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
ContainerCgroupResourceHijacking,CIC-5,The CI/CD pipeline for the app enables reproducible builds,Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupResourceHijacking,CIC-6,Apps for development and production are not deployed in the same environment,Exploitability,2,CI/CD and supply chain controls increase the trustworthiness of a container and security of the software footprint
ContainerCgroupResourceHijacking,CIC-6,Apps for development and production are not deployed in the same environment,Exposure,2,CI/CD and supply chain controls support detection of malicious containers and prevent the introduction of vulnerabilities by validating the software footprint
ContainerCgroupResourceHijacking,CRM-1,Regular risk assessments of apps and host devices are performed,Exploitability,1,Compliance and risk management practices support the assessment of how and what a container in the host's cgroup can do
ContainerCgroupResourceHijacking,CRM-1,Regular risk assessments of apps and host devices are performed,Exposure,1,Compliance and risk management practices support assessment of which components in the container's environment can exploit the resource allocation privilege
ContainerCgroupResourceHijacking,CRM-2,The operation's asset inventory is maintained,Exploitability,1,Compliance and risk management practices support the assessment of how and what a container in the host's cgroup can do
ContainerCgroupResourceHijacking,CRM-2,The operation's asset inventory is maintained,Exposure,1,Compliance and risk management practices support assessment of which components in the container's environment can exploit the resource allocation privilege
ContainerCgroupResourceHijacking,CRM-3,Container security policies along the app lifecycle are documented and enforced,Exploitability,1,Compliance and risk management practices support the assessment of how and what a container in the host's cgroup can do
ContainerCgroupResourceHijacking,CRM-3,Container security policies along the app lifecycle are documented and enforced,Exposure,1,Compliance and risk management practices support assessment of which components in the container's environment can exploit the resource allocation privilege
ContainerCgroupResourceHijacking,CRM-4,Periodic audits and reviews of apps and host devices are conducted,Exploitability,1,Compliance and risk management practices support the assessment of how and what a container in the host's cgroup can do
ContainerCgroupResourceHijacking,CRM-4,Periodic audits and reviews of apps and host devices are conducted,Exposure,1,Compliance and risk management practices support assessment of which components in the container's environment can exploit the resource allocation privilege
ContainerCgroupResourceHijacking,HIS-1,The container runtime on the host device is up to date,Exploitability,0,Host infrastructure security does not make the resource consumption attack more difficult
ContainerCgroupResourceHijacking,HIS-1,The container runtime on the host device is up to date,Exposure,1,An up-to-date container runtime supports management and allocation of host resources for containers
ContainerCgroupResourceHijacking,HIS-2,The host device is deployed as an immutable infrastructure (e.g. read-only file system),Exploitability,0,Host infrastructure security does not make the resource consumption attack more difficult
ContainerCgroupResourceHijacking,HIS-2,The host device is deployed as an immutable infrastructure (e.g. read-only file system),Exposure,2,An immutable host infrastructure reduces the attackers access to resources in the host's cgroup namespace
ContainerCgroupResourceHijacking,HIS-3,The host device is monitored for unauthorized changes,Exploitability,0,Host infrastructure security does not make the resource consumption attack more difficult
ContainerCgroupResourceHijacking,HIS-3,The host device is monitored for unauthorized changes,Exposure,3,Monitoring the resource allocation on the host system is essential to detect malicious activities by a container
ContainerCgroupResourceHijacking,IMG-1,App images are scanned for vulnerabilities,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupResourceHijacking,IMG-1,App images are scanned for vulnerabilities,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupResourceHijacking,IMG-2,App uses minimal base images,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupResourceHijacking,IMG-2,App uses minimal base images,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupResourceHijacking,IMG-3,App images are signed and verified,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupResourceHijacking,IMG-3,App images are signed and verified,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupResourceHijacking,IMG-4,Dockerfiles of the app pin the base image version,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupResourceHijacking,IMG-4,Dockerfiles of the app pin the base image version,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupResourceHijacking,IMG-5,App images are rebuilt and updated regularly,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupResourceHijacking,IMG-5,App images are rebuilt and updated regularly,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupResourceHijacking,IMG-6,Device orchestration only uses trusted image registries,Exploitability,0,Container image security practices do not make resource consumption more difficult for an attacker
ContainerCgroupResourceHijacking,IMG-6,Device orchestration only uses trusted image registries,Exposure,3,"Container image security practices reduce the software footprint, trustworthiness of the container, and make it more difficult to hijack computing resources, e.g. for cryptomining"
ContainerCgroupResourceHijacking,MON-1,Container-level logging is enabled,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupResourceHijacking,MON-1,Container-level logging is enabled,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupResourceHijacking,MON-2,Processes on the host device are monitored for anomalous behavior,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupResourceHijacking,MON-2,Processes on the host device are monitored for anomalous behavior,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupResourceHijacking,MON-3,"Runtime security tools (e.g. Falco, Trivy) are used",Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupResourceHijacking,MON-3,"Runtime security tools (e.g. Falco, Trivy) are used",Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupResourceHijacking,MON-4,Incident response procedures are implemented,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupResourceHijacking,MON-4,Incident response procedures are implemented,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupResourceHijacking,MON-5,Logs are centralized and protected,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupResourceHijacking,MON-5,Logs are centralized and protected,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupResourceHijacking,MON-6,Decoy containers (honeypots) are deployed on the device to detect malicious activity,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupResourceHijacking,MON-6,Decoy containers (honeypots) are deployed on the device to detect malicious activity,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupResourceHijacking,MON-7,Container API calls and orchestration events are monitored for anomalies,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupResourceHijacking,MON-7,Container API calls and orchestration events are monitored for anomalies,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupResourceHijacking,MON-8,Alerts are triggered for unauthorized access attempts to container registries or APIs,Exploitability,0,Monitoring and detection does not make resource consumption more difficult
ContainerCgroupResourceHijacking,MON-8,Alerts are triggered for unauthorized access attempts to container registries or APIs,Exposure,3,Monitoring and detection controls enable early identification of unauthorized resource consumption by a container
ContainerCgroupResourceHijacking,NET-1,App container networks are segmented,Exploitability,0,Network security controls do not make resource consumption more difficult
ContainerCgroupResourceHijacking,NET-1,App container networks are segmented,Exposure,2,Network security controls limit access to the container in the host's cgroup and reduce the attack surface
ContainerCgroupResourceHijacking,NET-2,Host-level firewall rules and network policies are applied,Exploitability,0,Network security controls do not make resource consumption more difficult
ContainerCgroupResourceHijacking,NET-2,Host-level firewall rules and network policies are applied,Exposure,2,Network security controls limit access to the container in the host's cgroup and reduce the attack surface
ContainerCgroupResourceHijacking,NET-3,Inter-container communication is encrypted,Exploitability,0,Network security controls do not make resource consumption more difficult
ContainerCgroupResourceHijacking,NET-3,Inter-container communication is encrypted,Exposure,2,Network security controls limit access to the container in the host's cgroup and reduce the attack surface
ContainerCgroupResourceHijacking,NET-4,Ingress/egress controls for containers are implemented,Exploitability,0,Network security controls do not make resource consumption more difficult
ContainerCgroupResourceHijacking,NET-4,Ingress/egress controls for containers are implemented,Exposure,2,Network security controls limit access to the container in the host's cgroup and reduce the attack surface
ContainerCgroupResourceHijacking,RTS-1,App containers are run as non-root user,Exploitability,2,"A non-root user limits the capabilities of the container to execute malicious activities, e.g. scripts"
ContainerCgroupResourceHijacking,RTS-1,App containers are run as non-root user,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupResourceHijacking,RTS-2,App containers use read-only file systems,Exploitability,1,A read-only filesystem makes creating and running malicious scripts for resource consumption more difficult
ContainerCgroupResourceHijacking,RTS-2,App containers use read-only file systems,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupResourceHijacking,RTS-3,App containers are deployed with minimal Linux capabilities,Exploitability,1,Dropping unneccessary Linux capabilities makes it harder for attackers to consume resources with malicious scripts
ContainerCgroupResourceHijacking,RTS-3,App containers are deployed with minimal Linux capabilities,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupResourceHijacking,RTS-4,Seccomp is implemented on the device,Exploitability,0,Runtime security controls do not make malicious resource consumption more difficult
ContainerCgroupResourceHijacking,RTS-4,Seccomp is implemented on the device,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupResourceHijacking,RTS-5,AppArmor is implemented on the device,Exploitability,0,Runtime security controls do not make malicious resource consumption more difficult
ContainerCgroupResourceHijacking,RTS-5,AppArmor is implemented on the device,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupResourceHijacking,RTS-6,SELinux is implemented on the device,Exploitability,0,Runtime security controls do not make malicious resource consumption more difficult
ContainerCgroupResourceHijacking,RTS-6,SELinux is implemented on the device,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupResourceHijacking,RTS-7,App containers have minimal access to host resources,Exploitability,0,Runtime security controls do not make malicious resource consumption more difficult
ContainerCgroupResourceHijacking,RTS-7,App containers have minimal access to host resources,Exposure,0,Runtime security controls do not reduce the attack surface for resource consumption or support detection of malicious activities
ContainerCgroupResourceHijacking,SCM-1,Secure secrets management tools (e.g. vaults or secrets manager) are used,Exploitability,0,Secrets management does not prevent or make resource consumption more difficult
ContainerCgroupResourceHijacking,SCM-1,Secure secrets management tools (e.g. vaults or secrets manager) are used,Exposure,0,Secrets management does not reduce the attack surface required for the resource consumption attack
ContainerCgroupResourceHijacking,SCM-2,Apps do not contain any hardcoded secrets,Exploitability,0,Secrets management does not prevent or make resource consumption more difficult
ContainerCgroupResourceHijacking,SCM-2,Apps do not contain any hardcoded secrets,Exposure,0,Secrets management does not reduce the attack surface required for the resource consumption attack
ContainerCgroupResourceHijacking,SCM-3,Secrets at rest and in transit are encrypted,Exploitability,0,Secrets management does not prevent or make resource consumption more difficult
ContainerCgroupResourceHijacking,SCM-3,Secrets at rest and in transit are encrypted,Exposure,0,Secrets management does not reduce the attack surface required for the resource consumption attack
ContainerCgroupResourceHijacking,SCM-4,Automatic secret rotation and revocation policies are implemented,Exploitability,0,Secrets management does not prevent or make resource consumption more difficult
ContainerCgroupResourceHijacking,SCM-4,Automatic secret rotation and revocation policies are implemented,Exposure,0,Secrets management does not reduce the attack surface required for the resource consumption attack
ContainerDataFromLocalSystem,AUTH-1,Authentication for exposed container APIs is enforced,Exploitability,0,Authentication and access controls do not prevent a privileged container from reading files
ContainerDataFromLocalSystem,AUTH-1,Authentication for exposed container APIs is enforced,Exposure,3,Authentication and access controls prevent unauthorized access to privileged containers
ContainerDataFromLocalSystem,AUTH-2,Role-based access control is used for orchestration and container management,Exploitability,0,Authentication and access controls do not prevent a privileged container from reading files
ContainerDataFromLocalSystem,AUTH-2,Role-based access control is used for orchestration and container management,Exposure,3,Authentication and access controls prevent unauthorized access to privileged containers
